pfloor,pid,pname,pperiod,prate
10万,AMZYCLWFYNDK2018001,中银策略-稳富（定期开放）12个月（2018年001期）,无固定存续期限,净值
5万,AMRJYL01,中银日积月累-日计划,T+0,3.10%
8000美元,RJYLUSD01,中银日积月累-日计划（美元版）,T+0,1%（之后每日公布）
5万,AMSYLJ01,中银日积月累-收益累进,1 ≤T≤6 ,2.00%
5万,JFYSG-Z,中银集富·与时聚金,1≤T≤29,2.30%
5万,BYAQKF7D,搏弈按期开放（7天）,7,2.20%
5万,BYAQKF21D,搏弈按期开放（21天）,21,2.30%
5万,BYAQKF35D,搏弈按期开放（35天）,35,2.80%
5万,BYAQKF63D,搏弈按期开放（63天）,63,2.90%
5万,BYAQKF98D,搏弈按期开放（98天）,98,3.00%
5万,BYAQKF182D,搏弈按期开放（182天）,182,3.20%
5万,BYAQKF280D,搏弈按期开放（280天）,280,3.30%
5万,BYAQKF364D,搏弈按期开放（364天）,364,3.45%
50万,AMZYZFZQKF-7D,(私行专属)中银智富周期开放-7天产品,7,3.90%
50万,AMZYZFZQKF-7D2,(私行专属)中银智富周期开放-7天B产品,7,3.90%
10万,AMZYZFZQKF-7DCF,中银智富周期开放-7天产品,7,3.70%
10万,AMZYZFZQKF-7DCF2,(高净值个人投资者)中银智富周期开放-7天B产品,7,3.70%
5万,AMHQRH28DGC,中银稳富-融荟系列理财计划（28天）,28,业绩基准4.05%
5万,AMHQRH63DGC,中银稳富-融荟系列理财计划（63天）,63,业绩基准4.10%
5万,AMHQRH91DGC,中银稳富-融荟系列理财计划（91天）,91,业绩基准4.30%
5万,AMHQRH182DGC,中银稳富-融荟系列理财计划（182天）,182,业绩基准4.35%
5万,AMHQRH364DGC,中银稳富-融荟系列理财计划（364天）,364,业绩基准4.45%
10万,AMHQRH91DHW,中银智富-融荟系列理财计划（91天）,91,业绩基准4.35%
10万,AMHQRH182DHW,中银智富-融荟系列理财计划（182天）,182,业绩基准4.40%
