产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
中银汇增-B计划（美元）2018年第35期,ZYHZB1835,1.65%,8000美元,98
中银汇增-B计划（美元）2018年第36期,ZYHZB1836,2.85%,8000美元,371
中银日积月累—乐享天天,AMHQLXTT01,4.0515% (七日年化收益率),5万,无固定存续期限
中银稳健增长（R）,830002,净值 1.3251,10万,无固定存续期限
中银新兴市场（R）,830018,净值 1.2691,10万,无固定存续期限
中银债市通理财计划,830100,净值 1.0527,10万,无固定存续期限
中银精选第004期,AMJXJJA004,净值 1.0450,20万,无固定存续期限
中银精选第005期,AMJXJJA005,净值 1.0426,20万,无固定存续期限
基智通-流动性增强A系列,AMZYJZT-LPA18616,3.95%,5万,37
基智通-流动性增强A系列,AMZYJZT-LPA18617,4.15%,5万,58
基智通-流动性增强A系列,AMZYJZT-LPA18618,4.25%,5万,84
基智通-流动性增强A系列,AMZYJZT-LPA18619,4.30%,5万,179
基智通-流动性增强A系列,AMZYJZT-LPA18620,4.35%,5万,263
基智通-流动性增强A系列,AMZYJZT-LPA18621,4.45%,5万,361
（高净值专属）基智通-流动性增强A系列,AMZYJZT-LPA18622,4.15%,10万,53
（高净值专属）基智通-流动性增强A系列,AMZYJZT-LPA18623,4.25%,10万,84
（高净值专属）基智通-流动性增强A系列,AMZYJZT-LPA18624,4.15%,10万,52
（高净值专属）基智通-流动性增强A系列,AMZYJZT-LPA18625,4.25%,10万,84
中银精选第006期,AMJXJJA006,净值 1.0375,20万,无固定存续期限
中银精选第007期,AMJXJJA007,净值 1.0376,20万,无固定存续期限
中银精选第008期,AMJXJJA008,净值 1.0319,20万,无固定存续期限
中银精选第009期,AMJXJJA009,净值 1.0165,20万,无固定存续期限
中银精选第010期,AMJXJJA010,净值 1.0380,20万,无固定存续期限
中银策略-稳富（定期开放）12个月（2018年001期）,AMZYCLWFYNDK2018001,净值 1.0000,10万,无固定存续期限
中银日积月累-日计划,AMRJYL01,3.10%,5万,T+0
中银日积月累-日计划（美元版）,RJYLUSD01,1%（之后每日公布）,8000美元,T+0
中银日积月累-收益累进,AMSYLJ01,2.10% 2.50% 3.10% 3.30% 3.50% 3.55% 3.65% 3.75% 3.85%,5万,1 ≤T≤6 <br> 7≤T≤13<br> 14≤T≤20<br> 21≤T≤30<br> 31≤T≤60<br> 61≤T≤90<br> 91≤T≤120<br> 121≤T≤180<br> T≥181
中银集富·与时聚金,JFYSG-Z,2.30% 3.20% 3.85% 3.90% 3.95% 4.00% 4.05% 4.10% 4.15% 4.20%,5万,1≤T≤29<br> 30≤T≤89<br> 90≤T≤179<br> 180≤T≤269<br> 270≤T≤364<br> 365≤T≤547<br> 548≤T≤729<br> 730≤T≤913<br> 914≤T≤1094<br> T≥1095
（周二爆款）中银平稳-智荟系列181521期,AMZYPWHQ181521,4.65%,5万,182
（手机银行专属）中银平稳-智荟系列181522期,AMZYPWHQ181522,4.50%,5万,182
