pfloor,pid,pname,pperiod,prate
2000000.0,HN072018431105D01,乾元-福润潇湘（私享尊尚）理财18年第431期,105,4.6
50000.0,BJ072018379007M01,北京“乾元－医师节专享”18年第2期理财,180,4.7
1000000.0,HN072018430196D01,乾元-福润潇湘（私享晋级）理财18年第430期,196,4.65
100000.0,HN072018410329D01,乾元-福润潇湘封闭式理财18年第410期,329,4.6
100000.0,HN072018408154D01,乾元-福润潇湘封闭式理财18年第408期,147,4.45
100000.0,ZH070418008129D44,乾元-网银专享2018-28理财产品,97,4.3
,GD08QYJB2018495M3,乾元-金宝DJ2018年第495期人民币理财产品,92,4.65
50000.0,ZH072018000001D01,乾元乐溢90天个人产品,3652,4.75
,ZH072017JG0090D01,“乾元-满溢”90天开放式产品(机构),2922,4.45
,ZH072017JG0180D01,“乾元-满溢”180天开放式产品（机构）,2922,4.6
,ZH072017JG0360D01,“乾元-满溢”360天开放式产品（机构）,2922,4.7
,ZH072017JG0060D01,“乾元-满溢”60天开放式产品（机构）,2922,4.25
,ZH072017JG0030D01,“乾元-满溢”30天开放式理财产品,2922,4.15
