pfloor,pid,pname,pperiod,prate
1000万,B16SD0064,慧赢自在投63D+,63,4.68
1.5万,A180A7302,乐赢美元成长1801(汇户）,370,3.2
300万,A170D1024,慧赢成长随心投63天C款,63,4.65
8000,A180A7895,乐赢美元稳健1807,373,3.2
5万,B160A0417,乐赢稳健周期91天A款,91,4.65
8000,A181A0554,乐赢美元稳健1821,369,3.15
300万,B170D0036,慧赢自在投63C+,63,4.6
8000,A181A2089,乐赢美元稳健1822,365,3.15
5000万,B16SD0063,慧赢自在投35E+,35,4.6
8000,A181A2090,乐赢美元稳健1823,365,3.15
100万,B170A0181,乐赢成长轻松投63天B款,63,4.6
8000,A180A9034,乐赢美元稳健1810,364,3.1
100万,A170D1023,慧赢成长随心投63天B款,63,4.6
8000,A181A0147,乐赢美元稳健1816,365,3.1
5万,B160A0415,乐赢稳健周期63天A款,63,4.6
8000,A181A0550,乐赢美元稳健1817,365,3.1
1000万,B16SD0062,慧赢自在投35D+,35,4.58
8000,A181A0552,乐赢美元稳健1819,365,3.1
100万,B160A0555,乐赢成长周期63天B款,63,4.55
8000,A181A0553,乐赢美元稳健1820,365,3.1
100万,B170A0173,乐赢稳健轻松投63天B款,63,4.55
8000,A180A9172,乐赢美元稳健1811,365,3.0
100万,B160D0197,慧赢自在投63B+,63,4.55
8000,A180A9173,乐赢美元稳健1812,365,3.0
300万,A170D1022,慧赢成长随心投35天C款,35,4.55
8000,A181A0144,乐赢美元稳健1813,365,3.0
20万,B160A0554,乐赢成长周期63天A款,63,4.5
8000,A181A0145,乐赢美元稳健1814,365,3.0
300万,B160D0262,慧赢自在投35C+,35,4.5
8000,A181A0146,乐赢美元稳健1815,365,3.0
100万,B170A0180,乐赢成长轻松投35天B款,35,4.5
8000,A181A0551,乐赢美元稳健1818,183,2.95
100万,A170D1021,慧赢成长随心投35天B款,35,4.5
8000,A181A2091,乐赢美元稳健1824,183,2.95
5万,B170A0172,乐赢稳健轻松投63天A款,63,4.5
8000,A180A8437,乐赢美元稳健1809,367,2.8
100万,B160A0416,乐赢稳健周期63天B款,63,4.5
8000,A180A7500,乐赢美元稳健1806(汇户),365,2.5
100万,B160A0553,乐赢成长周期35天B款,35,4.45
8000,A170A5577,乐赢美元稳健1701,365,2.48
100万,B160D0195,慧赢自在投35B+,35,4.45
8000,A170A6101,乐赢美元稳健1705(汇户),365,2.48
100万,B170A0170,乐赢稳健轻松投35天B款,35,4.45
8000,A170A6867,乐赢美元稳健1708(汇户）,366,2.45
100万,B160A0414,乐赢稳健周期35天B款,35,4.4
8000,A170A6868,乐赢美元稳健1709（钞户）,366,2.45
20万,B160A0552,乐赢成长周期35天A款,35,4.4
1万,A170A6291,乐赢澳元稳健1707期(汇户）,365,2.4
5万,B170A0171,乐赢稳健轻松投35天A款,35,4.4
20万,A130A0018,惠益计划5号29期,1,0.0
5万,B160A0413,乐赢稳健周期35天A款,35,4.35
20万,A130A0210,惠益计划6号31期,-1,0.0
5万,P18020127,中信银行乐赢利率挂钩结构性存款1827期产品,91,4.35
5万,A130A0283,优债计划1349期,1,0.0
5万,P18020128,中信银行乐赢利率挂钩结构性存款1828期产品,182,4.1
10万,B130A0223,共赢13142期对私,1,0.0
10000万,B17SD0021,慧赢成长节节高F款,1,4.05
5万,B14SD0094,月月智信管理计划,30,0.0
5万,P18020129,中信银行乐赢利率挂钩结构性存款1829期产品,364,4.05
50万,B14SD0138,乐赢步步高升对私,0,0.0
300万,B160D0312,慧赢智选天天快车,1,3.9
5万,E11C30181,聚金13号1181期TJ,19,0.0
5万,A170A4881,乐赢稳健天天煲,-1,3.85
100万,B160D0125,慧赢成长季开,90,0.0
100万,B160A0310,乐赢成长天天快B,1,3.8
3000万,B17SD0043,恒赢B款1708期,90,0.0
100万,A160D0029,智享天天快车私行,1,3.8
20万,B160D0189,慧赢稳健策略1601,-1,0.0
300万,B170D0021,慧赢成长节节高C款,1,3.8
100万,B160D0190,慧赢稳健策略1602,-1,0.0
50万,B13SD0009,共赢天天快车私行,1,3.75
100万,B160D0191,双赢进取全球配置季开,90,0.0
5万,B160A0366,乐赢稳健天天快A,1,3.7
100万,B160A0688,乐赢成长强债净值,30,0.0
100万,B170D0029,慧赢成长节节高B款,1,3.65
100万,B160D0288,慧赢月月智享净值,30,0.0
50万,B160A0689,乐赢稳健天天快C,1,3.55
100万,B16SD0074,尊享1603期,-1,0.0
10万,B160A0302,乐赢成长天天快A,1,3.5
100万,B170D0005,睿赢成长月开1期,30,0.0
20万,B160A0367,乐赢稳健天天快B,1,3.5
100万,B17SD0016,尊享地产精选净值,180,0.0
100万,B170A0035,乐赢成长步步高A,1,3.45
3000万,B17SD0023,恒赢B款1701期,90,0.0
50万,B170A0036,乐赢稳健步步高C,1,3.4
10000万,B17SD0031,恒赢A款1703期,90,0.0
20万,B160A0365,乐赢稳健步步高B,1,3.35
3000万,B17SD0035,恒赢A款1704期,90,0.0
5万,B160A0364,乐赢稳健步步高A,1,3.3
3000万,B17SD0036,恒赢B款1704期,90,0.0
8000,P18021467,中信银行乐赢利率挂钩外币结构性存款1807期产品,365,3.0
3000万,B17SD0041,恒赢A款1705期,90,0.0
1000万,B160A0314,乐赢保本天天快D,1,2.75
100万,B170D0069,双赢海外增长净值,180,0.0
100万,B160A0313,乐赢保本天天快C,1,2.65
3000万,B17SD0042,恒赢B款1707期,90,0.0
100万,B160A0308,乐赢保本步步高B,1,1.45
100万,B170A0081,乐赢成长季开,90,0.0
5万,B160A0307,乐赢保本步步高A,1,1.35
3000万,B17SD0047,恒赢B款1712期,90,0.0
100万,A170D1325,周周赢理财管理计划,7,0.0
3000万,B17SD0048,恒赢C款1703期,90,0.0
5万,A180A9184,乐赢稳健周开,7,0.0
3000万,B17SD0055,恒赢C款1705期,90,0.0
100万,A181D6166,慧赢成长同行1866期,-1,0.0
3000万,B17SD0056,恒赢B款1715期,90,0.0
50万,A181A6082,乐赢黄金挂钩1878期人民币,181,0.0
3000万,B17SD0058,恒赢B款1717期,90,0.0
5万,A181A6081,乐赢黄金挂钩1877期人民币,181,0.0
100万,B170D0083,慧赢稳健同行,360,0.0
3000万,A18SD1524,恒赢A款1825,90,0.0
3000万,B17SD0063,恒赢B款1718期,90,0.0
5万,A140A0110,惠益计划5号68期,1,6.7
5000万,B17SD0064,恒赢A款1707期,90,0.0
50万,A130A0307,惠益计划5号54期,1,6.5
3000万,B17SD0068,恒赢C款1706期,90,0.0
5万,A130A0306,惠益计划5号54期,1,6.3
3000万,B17SD0074,恒赢B款1721期,90,0.0
